Centro,Meta_ID,Indicador,Numerador,Denominador,Cumplimiento,Meta_Fijada,Meta_Nacional
121780,Meta 2,PAP/VPH,588,965,60.93264248704663,63.0,80.0
121352,Meta 2,PAP/VPH,1284,1932,66.45962732919256,63.0,80.0
121309,Meta 2,PAP/VPH,4209,8491,49.57013308208691,63.0,80.0
121306,Meta 2,PAP/VPH,5409,9211,58.72326566062317,63.0,80.0
121305,Meta 2,PAP/VPH,4492,7307,61.47529765977829,63.0,80.0
121788,Meta 2,PAP/VPH,528,1248,42.30769230769231,63.0,80.0
121307,Meta 2,PAP/VPH,5735,12852,44.62340491752256,63.0,80.0
121350,Meta 2,PAP/VPH,6387,10091,63.29402437815875,63.0,80.0
121347,Meta 2,PAP/VPH,3392,5863,57.85434078117005,63.0,80.0
200183,Meta 2,PAP/VPH,3735,6955,53.702372393961184,63.0,80.0
121782,Meta 2,PAP/VPH,764,1322,57.791225416036305,63.0,80.0
121460,Meta 2,PAP/VPH,0,141,0.0,63.0,80.0
