Centro,Meta_ID,Indicador,Numerador,Denominador,Cumplimiento,Meta_Fijada,Meta_Nacional
121347,Meta 5,Cobertura HTA,1592,4515,35.26024363233666,40.0,45.0
121780,Meta 5,Cobertura HTA,346,722,47.92243767313019,40.0,45.0
121306,Meta 5,Cobertura HTA,4540,7979,56.899360822158165,40.0,45.0
200183,Meta 5,Cobertura HTA,1290,4478,28.80750334970969,40.0,45.0
121309,Meta 5,Cobertura HTA,1853,7153,25.90521459527471,40.0,45.0
121788,Meta 5,Cobertura HTA,370,1130,32.743362831858406,40.0,45.0
121350,Meta 5,Cobertura HTA,2862,6749,42.406282412209215,40.0,45.0
121782,Meta 5,Cobertura HTA,420,943,44.53870625662778,40.0,45.0
121460,Meta 5,Cobertura HTA,0,175,0.0,40.0,45.0
121305,Meta 5,Cobertura HTA,2667,6249,42.678828612578016,40.0,45.0
121307,Meta 5,Cobertura HTA,4637,11309,41.002741179591474,40.0,45.0
121352,Meta 5,Cobertura HTA,773,1742,44.37428243398392,40.0,45.0
